iter	Logloss
0	0.6827049558
1	0.6739540238
2	0.6649015689
3	0.6567406192
4	0.649391668
5	0.6429496768
6	0.636514065
7	0.630227682
8	0.6245917533
9	0.6200496098
10	0.6156357992
11	0.6112798539
12	0.6070951965
13	0.6037007016
14	0.6004950241
15	0.597171926
16	0.594320971
17	0.5917837226
18	0.5891157229
19	0.5866678078
20	0.5843769711
21	0.582574683
22	0.5809537188
23	0.5791588897
24	0.5774327515
25	0.5758395661
26	0.5743896014
27	0.5730495588
28	0.5717493064
29	0.5705438533
30	0.5694305218
31	0.5685692013
32	0.5677168158
33	0.5669370304
34	0.5660411021
35	0.5652731335
36	0.564511971
37	0.5637750744
38	0.5631770539
39	0.5626214978
40	0.5620509292
41	0.5616127098
42	0.5612124084
43	0.5606241806
44	0.560098556
45	0.5595927709
46	0.5592138441
47	0.5588585244
48	0.5584933362
49	0.5581835647
50	0.5577847974
51	0.5574372238
52	0.5571857993
53	0.5569171606
54	0.5566443668
55	0.5563587965
56	0.5561246153
57	0.5558825336
58	0.5555833265
59	0.5553921198
60	0.5552121864
61	0.5551206427
62	0.5549210023
63	0.5547596328
64	0.5545868767
65	0.5544471776
66	0.5543417483
67	0.5541667339
68	0.5540166253
69	0.5538767414
70	0.5537517882
71	0.5535947511
72	0.553458134
73	0.5533540428
74	0.5531702772
75	0.5530442949
76	0.5529225947
77	0.5527493958
78	0.5526532652
79	0.5525598855
80	0.5524077291
81	0.5522508684
82	0.5521358256
83	0.5519761492
84	0.5518438968
85	0.5517368162
86	0.5516332823
87	0.5515442588
88	0.5514627753
89	0.5514187027
90	0.5513066919
91	0.5512388542
92	0.5511676757
93	0.5510721785
94	0.5509934911
95	0.5509399764
96	0.5508229589
97	0.5507272395
98	0.5506517132
99	0.5505739405
100	0.5504639363
101	0.5503770543
102	0.550303568
103	0.5501933559
104	0.5501292539
105	0.5500795376
106	0.5500041767
107	0.5499796718
108	0.5498894304
109	0.5498006915
110	0.5497681022
111	0.5496910276
112	0.549627105
113	0.5495862362
114	0.5495120979
115	0.5494631534
116	0.5494086772
117	0.54936289
118	0.5493010084
119	0.5492357992
120	0.5491879813
121	0.5491202618
122	0.5490295238
123	0.5489928467
124	0.5489110449
125	0.5488944346
126	0.5487731103
127	0.5487410031
128	0.5486849866
129	0.5486256029
130	0.5485698969
131	0.5485054851
132	0.5484910776
133	0.5484464979
134	0.5483836189
135	0.5482974812
136	0.5482832083
137	0.5482730878
138	0.5482103464
139	0.5481806544
140	0.5480851727
141	0.5480307915
142	0.5480051796
143	0.5479395556
144	0.5479051492
145	0.5478599981
146	0.5478077236
147	0.5478026879
148	0.5477569394
149	0.5477416476
150	0.5476811918
151	0.5476146021
152	0.5475734937
153	0.5475263013
154	0.5474744625
155	0.5473537965
156	0.5473005554
157	0.5472480529
158	0.5471337695
159	0.5470901345
160	0.5469580112
161	0.5469199168
162	0.5468932876
163	0.5467854257
164	0.5467500008
165	0.546683112
166	0.5466031649
167	0.5465279555
168	0.5464772399
169	0.5464593797
170	0.546402297
171	0.5463655052
172	0.5463239467
173	0.546205453
174	0.5461800149
175	0.5461363877
176	0.5460908279
177	0.5460476916
178	0.5459928574
179	0.5459007696
180	0.5458589611
181	0.5458074016
182	0.5457490983
183	0.5457445857
184	0.5456911074
185	0.5456763557
186	0.5456425329
187	0.5455709123
188	0.5455067262
189	0.5455006278
190	0.5454928259
191	0.5454609643
192	0.5454462107
193	0.5453998155
194	0.5453532798
195	0.5453090066
196	0.5452333006
197	0.5451204059
198	0.5450570191
199	0.5450159929
200	0.5448976611
201	0.5448515799
202	0.5447820044
203	0.5447462684
204	0.544694871
205	0.5446765714
206	0.5445922477
207	0.5445656429
208	0.544539957
209	0.5445150194
210	0.5443978171
211	0.5443599701
212	0.5442657135
213	0.5442127036
214	0.5441425749
215	0.5440973144
216	0.5440603476
217	0.543978212
218	0.5439382477
219	0.5438722212
220	0.543834808
221	0.543735037
222	0.5436676583
223	0.5435957245
224	0.543554345
225	0.5435200465
226	0.5434381122
227	0.5434015307
228	0.5433516689
229	0.5432961453
230	0.5432441083
231	0.5432084137
232	0.5431743885
233	0.543114428
234	0.5430504645
235	0.5430154346
236	0.5429526548
237	0.5428679399
238	0.5427754879
239	0.542719836
240	0.5426885718
241	0.5426278001
242	0.5425687984
243	0.5425415198
244	0.5425173619
245	0.5424481476
246	0.5424297224
247	0.5423861079
248	0.5423050508
249	0.5422445486
250	0.542173012
251	0.5420756629
252	0.5420017191
253	0.5419778191
254	0.5419549553
255	0.5419261752
256	0.5418754822
257	0.5418253871
258	0.5417832786
259	0.5417501533
260	0.541697571
261	0.5416529641
262	0.5416066358
263	0.5415425991
264	0.541475462
265	0.5414428844
266	0.5414069324
267	0.5413403763
268	0.5412965378
269	0.5412421659
270	0.5411765363
