pidlink,sex,age
001060001,1.0,59.0
001060004,3.0,28.0
001060007,3.0,39.0
001060008,3.0,16.0
001065102,1.0,30.0
001080003,1.0,36.0
001080008,1.0,26.0
001080012,3.0,40.0
001220001,1.0,55.0
001220002,3.0,54.0
001220003,1.0,34.0
001220006,1.0,28.0
001220008,1.0,24.0
001220009,1.0,23.0
001220011,3.0,32.0
001220013,3.0,15.0
001240002,3.0,62.0
001240003,1.0,40.0
001240004,1.0,35.0
001240005,3.0,37.0
001240007,3.0,30.0
001240009,3.0,24.0
001240012,1.0,24.0
001240014,3.0,17.0
001240016,1.0,17.0
001240017,3.0,16.0
001240024,3.0,25.0
001240025,3.0,31.0
001245101,1.0,50.0
001245201,1.0,30.0
001250003,1.0,34.0
001250008,3.0,33.0
001290001,1.0,58.0
001290002,3.0,50.0
001290003,3.0,27.0
001290004,1.0,29.0
001290005,1.0,25.0
001290008,1.0,16.0
001295101,1.0,27.0
001295202,3.0,22.0
001295304,3.0,21.0
002010002,3.0,67.0
002010003,3.0,46.0
002010004,1.0,56.0
002010005,1.0,26.0
002010006,3.0,24.0
002010008,3.0,19.0
002010011,1.0,16.0
002015101,1.0,24.0
002020001,1.0,42.0
002020011,3.0,22.0
002030002,3.0,68.0
002040001,1.0,46.0
002040002,3.0,45.0
002040003,3.0,28.0
002040004,3.0,25.0
002040006,3.0,20.0
002040007,1.0,16.0
002044102,1.0,35.0
002050003,1.0,28.0
002050010,3.0,26.0
002060002,1.0,40.0
002060004,3.0,34.0
002060006,3.0,33.0
002060007,1.0,15.0
002065101,1.0,52.0
002110006,1.0,41.0
002110007,3.0,39.0
002110009,1.0,18.0
002114304,1.0,15.0
002130001,1.0,57.0
002130002,3.0,54.0
002150001,1.0,64.0
002150002,3.0,52.0
002180002,1.0,48.0
002180005,3.0,45.0
002180006,1.0,26.0
002180007,3.0,24.0
002180010,3.0,19.0
002183101,1.0,49.0
002184101,1.0,27.0
002190001,3.0,81.0
002190002,1.0,56.0
002190003,3.0,46.0
002190004,3.0,21.0
002190005,3.0,19.0
002190006,3.0,15.0
002190012,1.0,30.0
002190013,3.0,30.0
002200001,1.0,54.0
002200002,3.0,47.0
002200003,1.0,25.0
002200004,1.0,23.0
002210001,1.0,71.0
002210008,3.0,52.0
002220001,1.0,41.0
002220002,3.0,39.0
002220004,1.0,17.0
002250002,3.0,48.0
002250004,1.0,28.0
002250005,1.0,26.0
002250006,3.0,25.0
002250009,3.0,67.0
002250010,3.0,25.0
002260001,1.0,71.0
002260002,3.0,61.0
002260005,3.0,31.0
002260008,1.0,22.0
002260011,3.0,18.0
002270005,3.0,20.0
002290001,1.0,47.0
002290002,3.0,44.0
002290003,1.0,26.0
002290007,1.0,45.0
002294202,3.0,17.0
002294203,3.0,16.0
002295103,3.0,17.0
002300007,3.0,30.0
002300014,1.0,34.0
003010001,1.0,66.0
003010002,3.0,55.0
003010004,3.0,36.0
003010005,3.0,31.0
003010007,3.0,25.0
003010008,3.0,23.0
003010009,1.0,19.0
003014101,1.0,39.0
003015102,1.0,28.0
003015202,1.0,27.0
003015301,1.0,23.0
003020001,1.0,47.0
003020002,3.0,49.0
003020003,1.0,29.0
003020004,1.0,27.0
003020005,3.0,24.0
003020006,1.0,22.0
003020007,1.0,20.0
003020008,1.0,19.0
003030003,1.0,40.0
003030005,3.0,36.0
003030007,3.0,40.0
003030008,1.0,15.0
003031204,1.0,18.0
003040001,1.0,47.0
003040002,3.0,44.0
003040003,3.0,25.0
003040004,3.0,22.0
003040005,3.0,19.0
003040006,3.0,17.0
003040007,3.0,16.0
003045101,1.0,27.0
003050001,1.0,77.0
003050002,3.0,63.0
003050003,3.0,39.0
003050004,3.0,34.0
003050005,1.0,33.0
003050006,1.0,31.0
003050007,3.0,26.0
003050008,3.0,24.0
003050009,3.0,18.0
003050010,1.0,26.0
003054101,1.0,39.0
003055101,1.0,42.0
003055202,3.0,30.0
003070002,3.0,51.0
003070005,3.0,94.0
003080002,3.0,52.0
003080006,1.0,27.0
003080009,1.0,18.0
003090002,3.0,63.0
003090005,1.0,35.0
003090006,3.0,30.0
003090008,1.0,43.0
003090019,3.0,20.0
003094102,1.0,32.0
003100002,3.0,69.0
003100003,3.0,40.0
003100004,1.0,43.0
003100005,3.0,35.0
003100006,3.0,43.0
003104103,1.0,19.0
003104201,1.0,36.0
003110001,1.0,45.0
003110002,3.0,48.0
003110003,3.0,26.0
003110004,1.0,24.0
003110005,3.0,18.0
003115101,1.0,28.0
003120001,1.0,47.0
003120002,3.0,50.0
003120003,3.0,26.0
003120004,1.0,24.0
003120005,3.0,33.0
003121103,1.0,18.0
003121104,3.0,16.0
003130001,1.0,55.0
003130002,3.0,47.0
003130003,1.0,28.0
003130007,1.0,18.0
003134105,3.0,28.0
003140002,3.0,68.0
003140004,3.0,33.0
003140005,1.0,48.0
003140006,3.0,47.0
003143101,1.0,36.0
003150001,3.0,61.0
003150002,3.0,37.0
003150003,3.0,28.0
003153101,1.0,40.0
003153103,3.0,16.0
003155101,1.0,35.0
003170001,3.0,60.0
003170002,3.0,42.0
003170003,1.0,39.0
003170004,1.0,38.0
003170005,3.0,38.0
003170006,3.0,19.0
003173104,1.0,16.0
003174102,3.0,36.0
003175201,1.0,23.0
003180002,3.0,61.0
003180003,3.0,32.0
003180004,1.0,30.0
003180005,3.0,29.0
003180006,3.0,28.0
003180007,1.0,23.0
003183104,3.0,28.0
003184101,1.0,38.0
003184202,1.0,33.0
003185101,1.0,29.0
003190001,1.0,62.0
003190002,3.0,58.0
003190003,1.0,36.0
003190004,3.0,35.0
003190005,1.0,32.0
003191101,1.0,42.0
003193102,3.0,45.0
003194102,3.0,30.0
003200003,3.0,43.0
003200004,1.0,35.0
003200005,1.0,56.0
003200007,3.0,26.0
003200010,1.0,17.0
003203103,3.0,17.0
003203104,1.0,17.0
003203105,1.0,44.0
003205102,3.0,34.0
003240002,1.0,49.0
003240003,3.0,43.0
003240005,3.0,33.0
003240006,3.0,40.0
003240007,1.0,47.0
003240008,3.0,42.0
003240009,1.0,24.0
003240010,3.0,22.0
003240011,1.0,19.0
003243103,3.0,16.0
003243205,1.0,19.0
003243206,3.0,17.0
003243207,1.0,39.0
003244101,1.0,39.0
003245401,1.0,21.0
003250001,3.0,87.0
003250004,1.0,46.0
003250005,3.0,41.0
003250007,3.0,21.0
003250009,3.0,16.0
003260001,1.0,59.0
003260003,1.0,31.0
003260004,1.0,29.0
003260005,3.0,26.0
003260006,1.0,25.0
003260008,3.0,18.0
003260009,3.0,51.0
003264102,3.0,29.0
003265102,3.0,28.0
003265202,1.0,27.0
003270001,1.0,56.0
003270002,3.0,55.0
003270003,1.0,21.0
003270004,1.0,18.0
003270006,3.0,22.0
003280001,1.0,54.0
003280002,3.0,48.0
003280003,1.0,27.0
003280005,1.0,24.0
003290001,1.0,51.0
003290002,3.0,47.0
003290003,1.0,27.0
003290005,1.0,21.0
003290006,3.0,17.0
003294106,3.0,25.0
003300003,3.0,57.0
004010002,3.0,47.0
004010003,1.0,25.0
004010005,1.0,19.0
004020002,3.0,46.0
004020005,1.0,27.0
004020007,3.0,24.0
004020008,3.0,22.0
004020009,1.0,21.0
004024104,3.0,28.0
004025201,1.0,33.0
004030001,1.0,62.0
004030003,3.0,41.0
004030008,1.0,24.0
004030009,1.0,44.0
004030010,1.0,20.0
004030011,1.0,18.0
004032109,3.0,23.0
004035102,3.0,51.0
004035103,1.0,17.0
004040002,3.0,57.0
004040003,1.0,33.0
004040006,3.0,27.0
004040008,1.0,21.0
004040011,3.0,35.0
004045102,1.0,29.0
004050001,1.0,50.0
004050002,3.0,45.0
004050003,3.0,21.0
004050004,3.0,19.0
004050005,3.0,18.0
004050006,1.0,17.0
004055102,1.0,28.0
004060001,1.0,66.0
004060002,3.0,64.0
004060003,1.0,34.0
004060004,1.0,31.0
004060005,1.0,29.0
004060007,1.0,69.0
004065102,3.0,29.0
004065202,3.0,36.0
004065302,3.0,35.0
004070002,3.0,49.0
004070005,3.0,39.0
004070007,1.0,34.0
004070008,3.0,28.0
004070009,3.0,27.0
004070012,3.0,23.0
004073101,1.0,52.0
004090003,3.0,41.0
004090007,1.0,41.0
004090008,3.0,42.0
004100001,3.0,64.0
004100002,1.0,43.0
004100003,3.0,37.0
004100004,1.0,35.0
004100005,1.0,33.0
004100006,1.0,30.0
004100008,3.0,28.0
004100009,1.0,24.0
004100010,3.0,18.0
004102101,1.0,41.0
004102104,3.0,16.0
004103102,3.0,41.0
004103103,1.0,17.0
004103104,1.0,15.0
